No,Type,Region,"City,Town,Ward,Village code","City,Town,Ward,Village",Area,Nearest station_Name,Nearest station_Distance(minute),Transaction-price(total),Layout,Area(m^2),Transaction-price(Unit price m^2),Land shape,Year of construction,Building structure,Use,Purpose of Use,City Planning,Maximus Building Coverage Ratio(%),Maximus Floor-area Ratio(%),Transaction period,Renovation,Transactional factors
76,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),3,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,800.0,3rd quarter 2019,,
77,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
78,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,23000000,1K,20.0,1.15,,2005,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
79,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,24000000,1K,20.0,1.2,,2005,RC,,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
80,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),6,15000000,1K,15.0,1.0,,1979,SRC,Office,Office,Commercial Zone,80.0,700.0,2nd quarter 2019,Done,
81,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,25000000,1K,20.0,1.25,,2005,RC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,,
82,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),1,740000000,,135.0,5.48,Irregular Shaped,,,,Other,Commercial Zone,80.0,600.0,1st quarter 2019,,
83,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Uchikanda,Kanda (Tokyo),2,23000000,,20.0,1.15,,2005,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,,
84,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),4,1800000000,,160.0,11.25,Irregular Shaped,2019,S,Other,Shop,Commercial Zone,80.0,600.0,4th quarter 2019,,
85,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),4,1500000000,,160.0,9.38,Irregular Shaped,2019,S,Other,Other,Commercial Zone,80.0,600.0,3rd quarter 2019,,
86,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),2,120000000,,115.0,1.04,Rectangular Shaped,1980,RC,Shop,Shop,Commercial Zone,80.0,600.0,1st quarter 2019,,
87,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),2,44000000,,45.0,0.98,Rectangular Shaped,,,,Office,Commercial Zone,80.0,600.0,1st quarter 2019,,
88,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kajicho,Kanda (Tokyo),2,390000000,,75.0,5.2,Irregular Shaped,1984,SRC,"Office, Shop",Office,Commercial Zone,80.0,600.0,1st quarter 2019,,
89,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,1,45000000,1DK,35.0,1.29,,2003,RC,House,House,Commercial Zone,80.0,600.0,4th quarter 2019,Not yet,
90,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,3,130000000,2LDK,70.0,1.86,,2013,SRC,House,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
91,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Awajicho,3,200000000,3LDK,100.0,2.0,,2013,SRC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
92,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Shin-ochanomizu,2,130000000,1LDK,60.0,2.17,,2013,SRC,,House,Commercial Zone,80.0,500.0,4th quarter 2019,Done,
93,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaawajicho,Shin-ochanomizu,2,110000000,1LDK,55.0,2.0,,2013,SRC,House,House,Commercial Zone,80.0,500.0,4th quarter 2019,Not yet,
94,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaizumicho,Akihabara,3,310000000,,100.0,3.1,Rectangular Shaped,2019,RC,Housing Complex,House,Commercial Zone,80.0,500.0,1st quarter 2019,,
95,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaizumicho,Akihabara,4,23000000,1K,20.0,1.15,,2000,RC,House,House,Commercial Zone,80.0,500.0,1st quarter 2019,Not yet,
96,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaizumicho,Asakusabashi,6,90000000,,50.0,1.8,Rectangular Shaped,1968,RC,"House, Office, Warehouse, Shop",Other,Commercial Zone,80.0,600.0,3rd quarter 2019,,
97,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),4,580000000,,105.0,5.52,Semi-square Shaped,1973,S,"House, Office, Shop",Other,Commercial Zone,80.0,700.0,3rd quarter 2019,,
98,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),3,14000000,1K,15.0,0.93,,1980,SRC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Done,
99,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),,280000000,,100.0,2.8,Irregular Shaped,1988,LS,Workshop,Other,Commercial Zone,80.0,800.0,2nd quarter 2019,,
101,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),1,300000000,,125.0,2.4,Semi-trapezoidal Shaped,1961,RC,"Office, Warehouse",Office,Commercial Zone,80.0,600.0,2nd quarter 2019,,
102,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),4,11000000,1K,15.0,0.73,,1980,SRC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
103,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Ogawamachi (Tokyo),3,14000000,1R,25.0,0.56,,1980,SRC,House,Office,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
104,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandaogawamachi,Jinbocho,3,62000000,,35.0,1.77,Semi-square Shaped,1994,S,"House, Office",Office,Commercial Zone,80.0,600.0,2nd quarter 2019,,
105,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandaogawamachi,Jinbocho,4,23000000,1K,25.0,0.92,,2004,SRC,House,,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
106,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,8,26000000,1K,30.0,0.87,,2008,RC,House,House,Commercial Zone,80.0,600.0,4th quarter 2019,Not yet,
107,Residential Land(Land and Building),Commercial Area,13101,Chiyoda Ward,Kandasakumacho,Akihabara,4,140000000,,50.0,2.8,Semi-rectangular Shaped,1984,RC,"Office, Warehouse, Shop",Office,Commercial Zone,80.0,600.0,3rd quarter 2019,,
108,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,5,21000000,1K,15.0,1.4,,2001,SRC,House,House,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
109,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,5,52000000,1LDK,40.0,1.3,,2018,RC,,House,Commercial Zone,80.0,600.0,2nd quarter 2019,Not yet,
110,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,5,21000000,1K,15.0,1.4,,2001,SRC,House,Other,Commercial Zone,80.0,600.0,1st quarter 2019,,
111,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasakumacho,Akihabara,6,22000000,1DK,20.0,1.1,,2000,SRC,,House,Commercial Zone,80.0,700.0,1st quarter 2019,Not yet,
113,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Jinbocho,6,27000000,1R,20.0,1.35,,2009,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
114,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Suidobashi,4,51000000,1LDK,50.0,1.02,,2013,RC,House,,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
115,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Suidobashi,4,51000000,1LDK,50.0,1.02,,2013,RC,House,,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
116,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Suidobashi,4,51000000,1LDK,50.0,1.02,,2013,RC,House,,Commercial Zone,80.0,600.0,3rd quarter 2019,Not yet,
117,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Suidobashi,4,32000000,1K,25.0,1.28,,2013,RC,House,Other,Commercial Zone,80.0,500.0,2nd quarter 2019,Not yet,
118,"Pre-owned Condominiums, etc.",,13101,Chiyoda Ward,Kandasarugakucho,Suidobashi,4,30000000,1K,25.0,1.2,,2013,RC,House,House,Commercial Zone,80.0,600.0,1st quarter 2019,Not yet,
